Source,Target, Weight
multiple access,numerical results,241
multiple access,performance analysis,170
multiple access,base station,214
multiple access,spectral efficiency,150
optimal solutions,optimal solution,312
existing methods,computer vision,258
existing methods,image processing,153
existing methods,feature extraction,176
existing methods,objective function,172
existing methods,wide range,188
existing methods,based method,164
filter bank,filter banks,578
filter bank,perfect reconstruction,237
distance measure,distance measures,261
embedded systems,timing constraints,180
embedded systems,space exploration,280
embedded systems,embedded applications,339
embedded systems,software development,167
embedded systems,embedded devices,217
embedded systems,embedded system,699
decision support,decision making,843
decision support,machine learning,202
decision support,information technology,156
decision support,data mining,311
decision support,supply chain,155
decision support,decision support system dss,269
decision rule,decision rules,185
image restoration,image processing,191
iterative algorithm,objective function,156
iterative algorithm,power allocation,163
theoretical results,numerical results,309
theoretical results,numerical simulations,486
theoretical results,performance analysis,168
intrusion detection,ad hoc,171
intrusion detection,anomaly detection,448
intrusion detection,false alarm,181
intrusion detection,network traffic,399
intrusion detection,network security,336
intrusion detection,detection rate,212
intrusion detection,intrusion detection systems idss,207
intrusion detection,wireless sensor networks,212
network model,neural network,185
decision procedure,decision procedures,160
maximum degree,planar graph,169
maximum degree,chromatic number,171
linear programs,linear programming,257
query languages,query language,410
queueing networks,queueing network,165
utility function,resource allocation,225
utility function,utility functions,346
regular graphs,regular graph,245
network layer,physical layer,222
network layer,application layer,213
network layer,routing protocol,154
network layer,ad hoc,196
approximation algorithms,approximation algorithm,977
approximation algorithms,optimal solution,187
approximation algorithms,linear programming,154
nash equilibrium,price of anarchy,157
anomaly detection,false alarm,154
development process,software development,539
control algorithm,control system,174
garbage collection,memory management,200
garbage collection,garbage collector,246
control algorithms,control algorithm,174
connected components,connected component,222
embedded software,embedded systems,434
saccharomyces cerevisiae,gene expression,168
motion compensation,motion estimation,364
motion compensation,video coding,160
minimum degree,connected graph,161
user interfaces,user interface,1383
user interfaces,user interface design,207
physical layer,link layer,152
physical layer,base station,161
physical layer,spectral efficiency,183
physical layer,resource allocation,190
physical layer,ad hoc,253
physical layer,adaptive modulation,159
physical layer,wireless networks,312
physical layer,wireless sensor networks,174
physical layer,orthogonal frequency division multiplexing,168
physical layer,cognitive radio,207
message passing,belief propagation,212
connected graphs,connected graph,314
network design,network design problem,161
temporal resolution,spatial resolution,187
line graph,line graphs,180
abstract interpretation,static analysis,247
interface design,user interface,190
electric vehicles,electric vehicle,256
electric vehicles,electric vehicles evs,170
routing algorithm,routing protocol,257
routing algorithm,wireless sensor networks,306
molecular dynamics,free energy,253
code division multiple access,multiple access,162
distributed memory,shared memory,407
distributed memory,message passing,214
linear temporal logic,temporal logic,167
binding site,binding sites,348
software development,software industry,222
power management,power consumption,692
power management,low power,214
power management,wireless sensor networks,159
importance sampling,monte carlo,365
mixture model,mixture models,292
principal component analysis,pattern recognition,221
principal component analysis,neural networks,255
principal component analysis,dimensionality reduction,580
principal component analysis,neural network,361
principal component analysis,principal components,556
principal component analysis,feature space,230
principal component analysis,principal component,278
principal component analysis,feature extraction,668
principal component analysis,feature vectors,189
principal component analysis,feature selection,269
principal component analysis,independent component analysis,172
principal component analysis,independent component analysis ica,254
principal component analysis,linear discriminant analysis,186
principal component analysis,classification accuracy,168
principal component analysis,face recognition,517
principal component analysis,face images,219
principal component analysis,training data,171
principal component analysis,machine learning,232
principal component analysis,support vector machine,316
principal component analysis,linear discriminant analysis lda,286
packet loss,network performance,271
packet loss,forward error correction,262
packet loss,performance analysis,206
packet loss,packet delay,246
packet loss,network congestion,219
packet loss,analytical model,194
packet loss,quality of service,207
packet loss,routing protocol,190
packet loss,numerical results,197
packet loss,video quality,219
packet loss,wireless networks,269
packet loss,real time,157
packet loss,packet losses,470
packet loss,network conditions,179
packet loss,quality of service qos,388
packet loss,ad hoc,236
packet loss,wireless sensor networks,325
packet loss,mobility management,163
packet loss,video streaming,268
packet loss,wireless network,200
hidden markov models,hidden markov model,407
hidden markov models,speech recognition,322
hidden markov models,hidden markov model hmm,189
hidden markov models,hidden markov models hmms,342
simulated annealing,optimization problems,151
simulated annealing,objective function,235
simulated annealing,optimal solution,178
simulated annealing,global optimization,209
simulated annealing,combinatorial optimization,240
simulated annealing,computational results,157
simulated annealing,cost function,191
simulated annealing,genetic algorithm,605
simulated annealing,optimization problem,249
simulated annealing,tabu search,413
simulated annealing,genetic algorithms,412
simulated annealing,local search,315
simulated annealing,simulated annealing sa,307
simulated annealing,particle swarm optimization,160
motion planning,configuration space,304
motion planning,motion planner,176
requirements engineering,software development,267
requirements engineering,software engineering,300
requirements engineering,requirements elicitation,184
spectral efficiency,numerical results,491
spectral efficiency,performance analysis,211
spectral efficiency,bit error rate,180
spectral efficiency,base station,430
spectral efficiency,wireless communication,261
spectral efficiency,orthogonal frequency division multiplexing,303
spectral efficiency,cellular networks,310
spectral efficiency,adaptive modulation,293
spectral efficiency,spatial multiplexing,166
spectral efficiency,resource allocation,345
spectral efficiency,cellular network,151
linear regression,maximum likelihood,189
lessons learned,case studies,195
lessons learned,software development,198
computational model,computational models,278
empirical results,data mining,166
learning algorithm,neural network,859
learning algorithm,supervised learning,193
learning algorithm,pattern recognition,152
learning algorithm,reinforcement learning,258
search space,optimal solution,162
search space,optimization problem,160
logic programming,programming language,204
parallel programs,parallel program,197
control scheme,control schemes,197
control scheme,adaptive control,288
control scheme,control law,230
control scheme,neural networks,162
control scheme,neural network,244
control scheme,control system,251
domain knowledge,machine learning,217
domain knowledge,natural language,165
domain knowledge,domain experts,171
autonomous robot,mobile robot,151
decision trees,neural networks,327
decision trees,training data,177
control strategies,control strategy,295
character recognition,feature extraction,153
character recognition,neural network,161
programming language,software development,152
programming language,computer science,232
nonlinear systems,sufficient conditions,188
nonlinear systems,neural network,158
nonlinear systems,output feedback,166
data model,data management,207
data model,query processing,151
data model,relational databases,152
loosely coupled,web services,187
artificial intelligence,natural language,246
artificial intelligence,machine learning,551
artificial intelligence,computer science,413
artificial intelligence,neural networks,379
artificial intelligence,computer vision,171
artificial intelligence,pattern recognition,186
artificial intelligence,neural network,284
artificial intelligence,decision making,212
artificial intelligence,fuzzy logic,196
artificial intelligence,data mining,257
artificial intelligence,artificial intelligence ai,214
pattern classification,neural networks,191
pattern classification,feature extraction,179
pattern classification,pattern recognition,222
pattern classification,neural network,257
pattern classification,machine learning,166
pattern classification,support vector machine,169
genetic algorithm,neural networks,490
genetic algorithm,machine learning,323
genetic algorithm,computational experiments,195
genetic algorithm,randomly generated,160
genetic algorithm,optimization problem,650
genetic algorithm,genetic algorithms,2811
genetic algorithm,cost function,171
genetic algorithm,search space,374
genetic algorithm,neural network,853
genetic algorithm,fitness function,877
genetic algorithm,search algorithm,238
genetic algorithm,objective function,481
genetic algorithm,optimization problems,269
genetic algorithm,local search,528
genetic algorithm,evolutionary algorithms,464
genetic algorithm,pattern recognition,153
genetic algorithm,combinatorial optimization,257
genetic algorithm,global optimization,261
genetic algorithm,mathematical model,229
genetic algorithm,feature selection,429
genetic algorithm,fuzzy logic,310
genetic algorithm,evolutionary algorithm,406
genetic algorithm,numerical results,183
genetic algorithm,tabu search,279
genetic algorithm,benchmark problems,205
genetic algorithm,numerical experiments,179
genetic algorithm,membership functions,178
genetic algorithm,fitness functions,153
genetic algorithm,genetic algorithm ga,1632
genetic algorithm,real time,159
genetic algorithm,time series,155
genetic algorithm,computational complexity,176
genetic algorithm,artificial neural network,170
genetic algorithm,initial population,242
genetic algorithm,global search,155
genetic algorithm,numerical examples,174
genetic algorithm,resource allocation,170
genetic algorithm,particle swarm optimization,464
genetic algorithm,convergence speed,150
genetic algorithm,differential evolution,172
genetic algorithm,an improved,162
genetic algorithm,wireless sensor networks,155
genetic algorithm,ant colony,155
path planning,mobile robot,478
path planning,motion planning,300
path planning,shortest path,154
path planning,collision avoidance,157
path planning,obstacle avoidance,264
path planning,configuration space,195
path planning,path planner,196
degrees of freedom,finite element,196
existing algorithms,computational complexity,214
existing algorithms,wireless sensor networks,161
case studies,computer science,155
case studies,software development,298
case studies,information technology,207
case studies,machine learning,176
case studies,decision making,188
case studies,source code,254
case studies,embedded systems,152
practical applications,computational complexity,173
computational resources,cloud computing,239
image features,feature extraction,185
image features,image feature,206
image features,image retrieval,226
numerical experiments,theoretical results,588
numerical experiments,boundary conditions,209
numerical experiments,second order,276
numerical experiments,linear systems,266
numerical experiments,differential equations,162
numerical experiments,convergence rate,205
numerical experiments,partial differential equations,183
numerical experiments,objective function,319
numerical experiments,computational cost,212
numerical experiments,domain decomposition,167
numerical experiments,finite difference,321
numerical experiments,convergence analysis,171
numerical experiments,numerical solution,357
numerical experiments,theoretical analysis,255
numerical experiments,optimization problem,284
numerical experiments,numerical methods,202
numerical experiments,iterative method,153
numerical experiments,numerical results,230
numerical experiments,optimal solution,170
numerical experiments,numerical method,215
numerical experiments,computational complexity,195
numerical experiments,error estimates,197
numerical experiments,discontinuous galerkin,180
waiting times,waiting time,186
referencesrnthese references,page by page links to pubmed,285
efficient parallel,parallel algorithm,151
user model,user models,155
target language,machine translation,227
fault diagnosis,neural network,250
object recognition,feature extraction,265
object recognition,image processing,192
application layer,physical layer,208
important features,feature selection,190
computational efficiency,computationally efficient,253
computational efficiency,computational complexity,212
software engineering,software development,1534
software engineering,artificial intelligence,164
software engineering,software industry,219
software engineering,project management,234
software engineering,computer science,732
software engineering,real world,166
software engineering,source code,381
software engineering,lessons learned,252
software engineering,programming language,179
software engineering,formal methods,222
software engineering,software quality,213
software engineering,development process,373
software engineering,case studies,323
software engineering,software architecture,328
software engineering,wide range,171
software engineering,empirical studies,238
software engineering,information technology,150
software engineering,open source,223
software engineering,best practices,183
software engineering,software engineering se,179
learning algorithms,neural networks,365
learning algorithms,learning algorithm,597
learning algorithms,neural network,309
learning algorithms,supervised learning,152
learning algorithms,machine learning,608
application domain,application domains,163
an empirical study,software development,218
an empirical study,source code,172
training set,neural network,366
training set,classification accuracy,176
training set,machine learning,526
training set,training data,577
training set,training samples,222
training set,pattern recognition,173
training set,training sets,261
training set,feature selection,162
training set,face recognition,194
training set,data mining,151
network performance,network traffic,241
network performance,numerical results,234
network performance,analytical model,211
network performance,resource allocation,167
network performance,network throughput,319
network performance,network resources,202
network performance,routing protocol,262
network performance,ad hoc,526
network performance,extensive simulations,190
network performance,wireless networks,295
network performance,power consumption,154
network performance,base station,175
network performance,wireless sensor networks,391
network performance,wireless mesh networks,190
boundary conditions,partial differential equations,228
boundary conditions,finite difference,251
boundary conditions,boundary value problems,163
boundary conditions,numerical solution,225
resource management,resource allocation,574
resource management,quality of service,210
resource management,admission control,151
resource management,virtual machines,177
resource management,operating system,152
resource management,resource utilization,184
resource management,grid computing,154
resource management,cloud computing,338
data management,cloud computing,228
data management,big data,273
virtual worlds,real world,157
virtual worlds,virtual reality,153
virtual worlds,virtual environment,177
previously proposed,computational complexity,177
information technology,competitive advantage,230
information technology,future research,243
information technology,business process,150
information technology,cloud computing,309
image sequences,optical flow,304
image sequences,image sequence,589
image sequences,motion estimation,322
knowledge base,natural language,162
process models,process model,669
process models,business process,384
exact solution,approximate solution,190
smart card,smart cards,428
parameter values,parameter estimation,175
key distribution,key management,170
service providers,service provider,517
service providers,access control,156
service providers,service discovery,163
service providers,cloud computing,800
service providers,cloud service,170
hough transform,image processing,155
prior knowledge,neural network,152
prior knowledge,training data,168
control method,control system,174
finite fields,finite field,274
circuit design,power consumption,179
circuit design,low power,153
empirical study,an empirical study,260
relational database,query language,160
relational database,data model,173
relational database,relational databases,472
analytical model,blocking probability,166
analytical model,analytical models,196
analytical model,analytical results,361
analytical model,performance evaluation,348
analytical model,ad hoc,218
analytical model,wireless networks,154
analytical model,proposed model,155
cognitive science,artificial intelligence,175
end users,end user,408
end users,service providers,231
end users,cloud computing,230
mathematical model,neural network,179
finite automaton,finite automata,151
control law,trajectory tracking,165
distributed applications,distributed systems,279
distributed applications,distributed application,160
real data,machine learning,309
real data,pattern recognition,150
real data,training data,185
real data,neural network,182
real data,objective function,174
real data,simulated data,346
real data,existing methods,271
real data,parameter estimation,173
real data,clustering algorithm,165
real data,data mining,373
real data,time series,324
real data,optimization problem,181
real data,synthetic data,502
real data,real time,158
real data,social networks,173
software design,software engineering,276
software design,software development,234
distributed shared memory,shared memory,259
exhaustive search,computational complexity,286
motion capture,motion data,197
network management,network traffic,204
fault models,fault model,194
controller design,control system,150
optimization algorithm,optimization algorithms,244
optimization algorithm,genetic algorithm,219
knowledge management,decision making,160
knowledge management,information technology,299
knowledge management,competitive advantage,206
image sequence,optical flow,201
image sequence,motion estimation,196
moving objects,image sequences,210
moving objects,moving object,885
moving objects,computer vision,176
moving objects,real time,198
moving objects,background subtraction,275
recent advances,computer vision,160
recent advances,machine learning,243
input image,image processing,165
scheduling problems,scheduling problem,208
steiner tree,steiner tree problem,187
back propagation,neural network,311
back propagation,neural networks,180
neural nets,neural networks,177
associative memory,neural network,245
software architecture,software development,277
scheduling algorithms,scheduling algorithm,818
scheduling algorithm,task scheduling,203
optimization algorithms,optimization problems,150
optimization algorithms,objective function,151
control strategy,control law,175
control strategy,neural network,153
control strategy,control scheme,219
control strategy,control system,229
data security,cloud computing,208
mobile robot,motion planning,256
hardware architecture,hardware implementation,177
digital signal processing,signal processing,264
computational experiments,randomly generated,176
computational experiments,linear programming,160
computational experiments,optimal solution,163
computational experiments,tabu search,156
theoretical analysis,optimization problem,172
theoretical analysis,theoretical results,226
theoretical analysis,performance analysis,323
theoretical analysis,computational complexity,250
theoretical analysis,numerical simulations,363
theoretical analysis,ad hoc,185
theoretical analysis,base station,161
theoretical analysis,wireless sensor networks,403
theoretical analysis,cognitive radio,211
adaptive controller,adaptive control,237
network traffic,performance evaluation,167
network traffic,network security,186
network traffic,anomaly detection,292
control laws,control law,260
point sets,point set,329
probability density,probability density function,190
obstacle avoidance,mobile robot,395
constrained optimization,objective function,161
dynamic analysis,static analysis,246
open loop,closed loop,182
stability analysis,sufficient conditions,250
stability analysis,asymptotic stability,154
trajectory tracking,control scheme,189
performance index,optimal control,167
data transmission,wireless sensor networks,322
tacit knowledge,knowledge management,174
constant factor,approximation algorithm,253
membership functions,fuzzy set,165
membership functions,fuzzy sets,162
membership functions,fuzzy model,170
feature vectors,feature extraction,440
feature vectors,face recognition,190
feature vectors,machine learning,201
objective functions,objective function,337
source language,target language,327
transfer functions,transfer function,534
parameter estimates,parameter estimation,302
high school,computer science,320
breast cancer,neural network,184
breast cancer,gene expression,255
voronoi diagrams,voronoi diagram,219
routing protocol,routing protocols,865
routing protocol,base station,186
routing protocol,load balancing,161
routing protocol,wireless sensor networks,946
routing protocol,routing overhead,151
routing protocol,packet delivery,268
routing protocol,network lifetime,408
routing protocol,control overhead,186
routing protocol,mobile ad hoc networks manets,273
routing protocol,mobile ad hoc network,291
routing protocol,wireless sensor network,285
routing protocol,wireless networks,174
routing protocol,packet delivery ratio,364
routing protocol,mobile ad hoc networks,184
routing protocol,wireless mesh networks,198
routing protocol,proposed protocol,221
human brain,magnetic resonance,205
human brain,white matter,264
information security,information technology,182
integer programming,computational experiments,156
probability density function,random variables,193
probability density function,performance analysis,297
probability density function,analytical results,151
linear codes,linear code,153
finite element method,finite element,505
recognition rate,neural network,209
recognition rate,face recognition,285
recognition rate,feature extraction,225
previous studies,machine learning,195
neural net,neural network,237
neural net,neural networks,168
error probabilities,error probability,155
analytical results,numerical simulations,224
analytical results,outage probability,415
analytical results,ad hoc,157
transcription factor,binding site,166
transcription factor,binding sites,166
transcription factor,transcription factors,190
transcription factor,gene expression,189
graphical user interface,user interface,267
knowledge representation,semantic web,291
routing algorithms,routing algorithm,702
routing algorithms,routing protocol,170
routing algorithms,wireless sensor networks,189
real images,image segmentation,284
received signal,numerical results,269
received signal,performance analysis,157
received signal,noise ratio,181
received signal,computational complexity,172
received signal,base station,216
received signal,cognitive radio,168
image coding,image compression,306
based methods,based method,258
singular value decomposition,singular value decomposition svd,290
magnetic resonance,white matter,234
magnetic resonance,magnetic resonance imaging mri,154
reverse engineering,source code,273
logistic regression,feature selection,153
logistic regression,machine learning,385
logistic regression,neural networks,164
logistic regression,data mining,181
logistic regression,support vector machine,205
key frame,key frames,156
scalar multiplication,elliptic curve,253
synchronous motor,permanent magnet,206
mathematical morphology,image processing,181
threshold voltage,supply voltage,228
base station,cellular systems,243
base station,cellular network,489
base station,power control,396
base station,traffic load,161
base station,optimization problem,329
base station,cellular networks,890
base station,performance analysis,269
base station,resource allocation,628
base station,quality of service,164
base station,computational complexity,242
base station,power allocation,389
base station,limited feedback,158
base station,wireless sensor network wsn,159
base station,mobile station ms,215
monte carlo simulation,monte carlo,437
linear discriminant analysis,feature extraction,218
linear discriminant analysis,face recognition,243
linear discriminant analysis,linear discriminant analysis lda,210
fading channels,performance analysis,271
phase noise,frequency synthesizer,170
phase noise,low phase noise,157
client side,server side,229
social network,social networks,3691
social network,network structure,266
social network,social networking,774
social network,social influence,230
social network,social network analysis,477
social network,recommender systems,174
social network,social relationships,230
social network,machine learning,158
social network,real world,280
social network,data mining,212
social network,real data,155
social network,social interactions,238
social network,social interaction,173
social network,viral marketing,156
social network,large scale,156
social network,online social networks,716
social network,social graph,193
social network,personal information,155
social network,link prediction,162
social network,social media,714
social network,extensive experiments,156
social network,influence maximization,185
unstructured data,structured data,164
image quality,image reconstruction,222
image quality,image compression,333
image quality,computational complexity,175
image quality,image quality assessment,217
urban area,urban areas,164
active learning,training data,207
active learning,machine learning,256
active learning,labeled data,159
active learning,unlabeled data,162
data stream,data mining,245
data stream,streaming data,214
software development process,software development,350
path loss,base station,165
path loss,outage probability,150
lossless compression,image compression,173
risk management,risk assessment,176
multilayer perceptron,neural network,589
rayleigh fading,outage probability,189
data fusion,remote sensing,150
data fusion,wireless sensor networks,203
virtual world,virtual worlds,644
virtual world,real world,367
virtual world,virtual reality,266
virtual world,second life,294
elliptic curve,finite field,190
elliptic curve,elliptic curves,404
virtual reality,virtual environments,321
virtual reality,virtual environment,754
virtual reality,computer graphics,220
virtual reality,force feedback,151
virtual reality,augmented reality,250
virtual reality,virtual reality vr,731
wide range,ad hoc,241
wide range,computer science,192
wide range,large scale,208
wide range,case studies,230
wide range,distributed systems,158
wide range,monte carlo,152
wide range,existing approaches,168
wide range,performance analysis,208
wide range,neural network,279
wide range,signal processing,286
wide range,optimization problem,207
wide range,computer vision,346
wide range,neural networks,214
wide range,machine learning,497
wide range,computational complexity,261
wide range,decision making,203
wide range,numerical results,259
wide range,image processing,230
wide range,genetic algorithm,187
wide range,real data,185
wide range,embedded systems,201
wide range,operating conditions,256
wide range,low power,188
wide range,low cost,186
wide range,application domains,218
wide range,extensive simulations,158
wide range,power consumption,285
wide range,real time,295
wide range,data mining,296
wide range,practical applications,165
wide range,time series,175
wide range,wireless communication,166
wide range,wireless sensor networks,350
wide range,proposed framework,190
wide range,cloud computing,186
numerical simulation,numerical simulations,191
depth information,depth map,214
mobile computing,cloud computing,171
training examples,training data,225
training examples,training set,162
training data,learning algorithm,341
training data,learning algorithms,229
training data,feature extraction,229
training data,training samples,322
training data,speech recognition,374
training data,maximum likelihood,154
training data,feature space,286
training data,existing methods,194
training data,classification accuracy,273
training data,supervised learning,394
training data,face recognition,199
feature vector,feature vectors,731
feature vector,feature selection,211
feature vector,feature space,191
feature vector,feature extraction,442
feature vector,neural network,198
feature vector,face recognition,164
feature vector,machine learning,172
feature vector,support vector machine,284
genetic programming,genetic programming gp,837
document image,document images,475
special issue,guest editors introduction,233
feature space,face recognition,218
feature space,feature extraction,381
feature space,feature vectors,210
feature space,training samples,151
feature space,image retrieval,156
genetic algorithms,combinatorial optimization,199
genetic algorithms,machine learning,232
genetic algorithms,search space,299
genetic algorithms,neural network,350
genetic algorithms,fitness function,452
genetic algorithms,objective function,238
genetic algorithms,genetic programming,161
genetic algorithms,evolutionary algorithms,379
genetic algorithms,optimization problem,340
genetic algorithms,global optimization,151
genetic algorithms,tabu search,201
genetic algorithms,feature selection,250
genetic algorithms,evolutionary algorithm,190
genetic algorithms,membership functions,158
genetic algorithms,particle swarm optimization,219
decision variables,objective function,153
color image,color images,352
color image,color space,159
speech recognizer,speech recognition,294
natural images,computer vision,156
natural images,image segmentation,176
natural images,image processing,151
natural images,natural image,216
convergence analysis,numerical results,166
convergence analysis,numerical examples,204
retrieval performance,relevance feedback,167
domain decomposition,finite element,231
fitness function,genetic programming,213
fitness function,fitness functions,236
fitness function,evolutionary algorithms,261
fitness function,particle swarm optimization,166
image acquisition,image processing,199
activation function,neural networks,304
activation function,neural network,308
computational cost,computational complexity,382
computational cost,real time,181
incomplete data,missing values,150
secret key,secret keys,217
hidden layer,neural networks,190
hidden layer,neural network,255
modal logics,modal logic,194
source node,destination node,630
source node,ad hoc,237
source node,routing protocol,155
source node,wireless sensor networks,190
source node,source nodes,151
source node,relay nodes,217
network throughput,ad hoc,365
network throughput,wireless networks,207
network throughput,network coding,170
existing approaches,existing methods,196
existing approaches,machine learning,227
existing approaches,wireless sensor networks,185
load balance,load balancing,282
image database,image retrieval,386
formal specifications,formal specification,193
similarity measure,image retrieval,178
similarity measure,similarity measures,663
probability distributions,random variables,204
probability distributions,probability distribution,316
an artificial neural network,neural network,175
local search,combinatorial optimization,276
local search,genetic algorithms,255
local search,evolutionary algorithms,228
local search,objective function,208
local search,tabu search,290
local search,search algorithm,287
local search,global optimization,207
local search,computational experiments,189
local search,optimization problem,167
local search,search space,207
local search,global search,355
local search,benchmark problems,221
local search,evolutionary algorithm,246
local search,local optima,173
local search,local search algorithms,186
local search,memetic algorithms,151
local search,memetic algorithm,299
local search,benchmark instances,209
local search,particle swarm optimization,232
limit cycles,limit cycle,174
eye movements,eye movement,221
eye movements,eye tracking,164
classification accuracy,neural networks,217
classification accuracy,neural network,363
classification accuracy,pattern recognition,226
classification accuracy,feature extraction,400
classification accuracy,decision tree,229
classification accuracy,classification performance,321
classification accuracy,data mining,228
classification accuracy,image classification,209
classification accuracy,support vector machine,539
training samples,feature extraction,167
gesture recognition,hand gestures,187
clustering algorithms,clustering algorithm,899
clustering algorithms,gene expression,199
clustering algorithms,based clustering,154
query expansion,information retrieval,273
sample sizes,sample size,187
clustering algorithm,fuzzy clustering,197
clustering algorithm,gene expression,152
fuzzy clustering,fuzzy clustering algorithm,165
relevant information,information retrieval,189
fourth order,second order,180
feature set,feature extraction,257
error bound,error bounds,181
signature schemes,signature scheme,265
tool support,software development,169
motion field,motion estimation,194
fuzzy controller,fuzzy control,226
fuzzy controller,fuzzy logic,175
numerical solutions,numerical results,197
numerical solutions,numerical solution,210
sliding mode,sliding mode control,331
robust stability,sufficient conditions,184
bandwidth allocation,resource allocation,166
significantly reduce,computational complexity,247
significantly reduce,power consumption,199
significantly reduce,wireless sensor networks,153
quality of service,resource allocation,336
quality of service,network resources,189
quality of service,service providers,242
quality of service,ad hoc,207
quality of service,web services,211
quality of service,cloud computing,213
convergence rates,convergence rate,153
detection method,detection methods,159
video game,video games,451
competitive ratio,online algorithm,442
competitive ratio,competitive analysis,161
low complexity,computational complexity,700
low complexity,resource allocation,221
low complexity,optimization problem,195
low complexity,base station,203
low complexity,spectral efficiency,182
low complexity,power allocation,150
discrete wavelet transform,feature extraction,197
fuzzy control,fuzzy logic,263
fuzzy inference,fuzzy logic,250
input variables,neural networks,202
input variables,neural network,248
power consumption,power supply,481
power consumption,supply voltage,839
power consumption,phase noise,239
power consumption,input signal,176
power consumption,chip area,393
power consumption,optimization problem,271
power consumption,performance analysis,176
power consumption,embedded systems,626
power consumption,switching activity,203
power consumption,power reduction,570
power consumption,base station,334
power consumption,image processing,152
power consumption,power estimation,273
power consumption,power savings,374
power consumption,power efficiency,445
power consumption,real time,245
power consumption,performance degradation,203
power consumption,resource allocation,247
power consumption,power control,284
power consumption,operating frequency,162
power consumption,ad hoc,219
power consumption,network lifetime,161
power consumption,total power,271
power consumption,wireless sensor network,248
power consumption,reduce power consumption,359
power consumption,leakage power,255
power consumption,total power consumption,310
power consumption,wireless networks,174
power consumption,power allocation,161
power consumption,high power,182
power consumption,duty cycle,150
power consumption,measurement results,210
power consumption,cloud computing,309
power consumption,data centers,167
power consumption,smart grid,162
nearest neighbors,nearest neighbor,241
total cost,supply chain,176
neural model,neural network,195
pose estimation,object recognition,152
pose estimation,computer vision,193
em algorithm,maximum likelihood,353
em algorithm,parameter estimation,185
em algorithm,mixture model,210
original image,image processing,205
original image,image quality,204
original image,watermarked image,158
filter banks,perfect reconstruction,311
recurrent neural network,recurrent neural networks,340
recurrent neural network,neural network,450
recurrent neural network,neural networks,235
power dissipation,power consumption,504
power dissipation,supply voltage,229
power dissipation,power reduction,173
motion vectors,motion vector,513
motion vectors,motion estimation,561
motion vectors,motion compensation,230
motion vectors,computational complexity,191
motion vector,motion estimation,486
motion vector,motion compensation,174
motion vector,computational complexity,193
relational databases,query language,157
description logic,description logics,344
description logic,semantic web,249
motion estimation,video coding,217
motion estimation,computer vision,162
motion estimation,computational complexity,444
motion estimation,fast motion estimation,153
motion estimation,motion estimation algorithm,259
motion estimation,full search,186
product development,product design,195
process modeling,process model,196
process modeling,process models,230
process modeling,business process,164
visual tracking,computer vision,173
visual tracking,object tracking,163
visual tracking,particle filter,168
decoding algorithm,decoding algorithms,163
decoding algorithm,ldpc codes,205
rough set,decision rules,175
rough set,rough set theory,551
rough set,rough sets,454
output signal,input signal,150
singular perturbation,singularly perturbed,158
traffic load,load balancing,180
traffic load,ad hoc,176
local optimization,global optimization,151
tracking algorithm,visual tracking,150
tracking algorithm,object tracking,195
impulse responses,impulse response,177
signature scheme,random oracle model,174
congestion control,packet loss,360
congestion control,network congestion,267
congestion control,transmission control protocol,168
congestion control,congestion control algorithm,163
secret sharing,secret sharing scheme,228
spatial information,remote sensing,192
autonomous navigation,mobile robot,200
quality of service qos,performance analysis,247
quality of service qos,quality of service,756
quality of service qos,resource utilization,175
quality of service qos,bandwidth allocation,155
quality of service qos,network resources,309
quality of service qos,admission control,461
quality of service qos,network performance,241
quality of service qos,power consumption,187
quality of service qos,resource management,261
quality of service qos,base station,303
quality of service qos,service providers,314
quality of service qos,call admission control,189
quality of service qos,numerical results,381
quality of service qos,best effort,171
quality of service qos,routing protocol,190
quality of service qos,scheduling algorithm,203
quality of service qos,extensive simulations,169
quality of service qos,resource allocation,669
quality of service qos,wireless networks,315
quality of service qos,optimization problem,258
quality of service qos,cellular networks,269
quality of service qos,wireless communication,201
quality of service qos,power control,173
quality of service qos,analytical model,171
quality of service qos,transmit power,162
quality of service qos,power allocation,164
quality of service qos,web service,302
quality of service qos,video streaming,182
quality of service qos,response time,188
quality of service qos,web services,378
quality of service qos,wireless network,184
quality of service qos,wireless sensor networks,203
quality of service qos,quality of experience qoe,241
quality of service qos,cognitive radio,278
quality of service qos,cloud computing,310
significantly reduces,computational complexity,224
low power,low cost,287
low power,power dissipation,494
low power,power consumption,2019
low power,supply voltage,490
low power,power supply,281
low power,signal processing,200
low power,dynamic range,150
low power,embedded systems,268
low power,switching activity,171
low power,power reduction,326
low power,power saving,154
low power,real time,171
low power,wireless communication,201
low power,power savings,154
low power,wireless sensor networks,364
low power,wireless sensor network,175
low power,dynamic power,153
local information,global information,239
regular languages,regular language,246
markov decision processes,reinforcement learning,168
input signals,input signal,199
block matching,motion estimation,191
business model,business models,223
business model,cloud computing,158
kalman filtering,kalman filter,448
process algebras,process algebra,154
doa estimation,direction of arrival doa estimation,204
false positive,true positive,166
feedforward neural network,neural networks,154
feedforward neural network,neural network,285
coding schemes,coding scheme,243
extended kalman filter,kalman filter,185
negative examples,positive examples,176
data compression,compression ratio,154
data mining,machine learning,2113
data mining,large databases,302
data mining,domain knowledge,194
data mining,natural language,156
data mining,interesting patterns,192
data mining,clustering algorithms,331
data mining,computational complexity,158
data mining,rough set,194
data mining,rough set theory,200
data mining,rough sets,200
