,ID,Label,Count,Year Range
4400,continuous monitoring (2010-2014),continuous monitoring (2010-2014),434,2010-2014
4401,density function (2010-2014),density function (2010-2014),434,2010-2014
4402,previously reported (2015-2017),previously reported (2015-2017),434,2015-2017
4403,electric power (2015-2017),electric power (2015-2017),434,2015-2017
4404,network infrastructure (2015-2017),network infrastructure (2015-2017),434,2015-2017
4405,exponential growth (2015-2017),exponential growth (2015-2017),434,2015-2017
4406,discrete cosine transform (2015-2017),discrete cosine transform (2015-2017),434,2015-2017
4407,decision maker (2015-2017),decision maker (2015-2017),434,2015-2017
4408,personal data (2015-2017),personal data (2015-2017),434,2015-2017
4409,probability density function (2000-2004),probability density function (2000-2004),433,2000-2004
4410,background subtraction (2005-2009),background subtraction (2005-2009),433,2005-2009
4411,artificial neural network ann (2005-2009),artificial neural network ann (2005-2009),433,2005-2009
4412,challenging problems (2005-2009),challenging problems (2005-2009),433,2005-2009
4413,low snr (2005-2009),low snr (2005-2009),433,2005-2009
4414,speech synthesis (2010-2014),speech synthesis (2010-2014),433,2010-2014
4415,domain decomposition (2010-2014),domain decomposition (2010-2014),433,2010-2014
4416,positive effects (2010-2014),positive effects (2010-2014),433,2010-2014
4417,robust stability (2010-2014),robust stability (2010-2014),433,2010-2014
4418,measured data (2015-2017),measured data (2015-2017),433,2015-2017
4419,spanning tree (2015-2017),spanning tree (2015-2017),433,2015-2017
4420,radial basis function (2015-2017),radial basis function (2015-2017),433,2015-2017
4421,noise reduction (2015-2017),noise reduction (2015-2017),433,2015-2017
4422,computational experiments (2000-2004),computational experiments (2000-2004),432,2000-2004
4423,mac protocol (2000-2004),mac protocol (2000-2004),432,2000-2004
4424,visual quality (2000-2004),visual quality (2000-2004),432,2000-2004
4425,adaptive control (2000-2004),adaptive control (2000-2004),432,2000-2004
4426,interaction design (2005-2009),interaction design (2005-2009),432,2005-2009
4427,facial features (2005-2009),facial features (2005-2009),432,2005-2009
4428,task scheduling (2005-2009),task scheduling (2005-2009),432,2005-2009
4429,protocol stack (2005-2009),protocol stack (2005-2009),432,2005-2009
4430,key concepts (2010-2014),key concepts (2010-2014),432,2010-2014
4431,digital cameras (2010-2014),digital cameras (2010-2014),432,2010-2014
4432,latent dirichlet allocation (2010-2014),latent dirichlet allocation (2010-2014),432,2010-2014
4433,location privacy (2010-2014),location privacy (2010-2014),432,2010-2014
4434,part ii (2010-2014),part ii (2010-2014),432,2010-2014
4435,cyber security (2010-2014),cyber security (2010-2014),432,2010-2014
4436,vector field (2010-2014),vector field (2010-2014),432,2010-2014
4437,prior research (2015-2017),prior research (2015-2017),432,2015-2017
4438,risk management (2015-2017),risk management (2015-2017),432,2015-2017
4439,supply chains (2015-2017),supply chains (2015-2017),432,2015-2017
4440,higher order (1995-1999),higher order (1995-1999),431,1995-1999
4441,intersymbol interference (2000-2004),intersymbol interference (2000-2004),431,2000-2004
4442,edge detection (2000-2004),edge detection (2000-2004),431,2000-2004
4443,individual users (2005-2009),individual users (2005-2009),431,2005-2009
4444,principal components (2005-2009),principal components (2005-2009),431,2005-2009
4445,video coding (2005-2009),video coding (2005-2009),431,2005-2009
4446,per node (2010-2014),per node (2010-2014),431,2010-2014
4447,ensemble learning (2010-2014),ensemble learning (2010-2014),431,2010-2014
4448,optical fiber (2010-2014),optical fiber (2010-2014),431,2010-2014
4449,delay performance (2010-2014),delay performance (2010-2014),431,2010-2014
4450,robust optimization (2010-2014),robust optimization (2010-2014),431,2010-2014
4451,analytical solutions (2010-2014),analytical solutions (2010-2014),431,2010-2014
4452,power dissipation (2015-2017),power dissipation (2015-2017),431,2015-2017
4453,approximate solution (2015-2017),approximate solution (2015-2017),431,2015-2017
4454,network operators (2015-2017),network operators (2015-2017),431,2015-2017
4455,performance enhancement (2005-2009),performance enhancement (2005-2009),430,2005-2009
4456,cost model (2005-2009),cost model (2005-2009),430,2005-2009
4457,received signal strength (2010-2014),received signal strength (2010-2014),430,2010-2014
4458,high computational cost (2010-2014),high computational cost (2010-2014),430,2010-2014
4459,image matching (2010-2014),image matching (2010-2014),430,2010-2014
4460,gene ontology (2010-2014),gene ontology (2010-2014),430,2010-2014
4461,asymptotically optimal (2015-2017),asymptotically optimal (2015-2017),430,2015-2017
4462,search process (2015-2017),search process (2015-2017),430,2015-2017
4463,tracking control (2015-2017),tracking control (2015-2017),430,2015-2017
4464,number of processors (1990-1994),number of processors (1990-1994),429,1990-1994
4465,large data sets (2000-2004),large data sets (2000-2004),429,2000-2004
4466,image coding (2005-2009),image coding (2005-2009),429,2005-2009
4467,large systems (2010-2014),large systems (2010-2014),429,2010-2014
4468,strongly connected (2010-2014),strongly connected (2010-2014),429,2010-2014
4469,multiple objects (2010-2014),multiple objects (2010-2014),429,2010-2014
4470,file sharing (2010-2014),file sharing (2010-2014),429,2010-2014
4471,residual energy (2010-2014),residual energy (2010-2014),429,2010-2014
4472,illustrative examples (2015-2017),illustrative examples (2015-2017),429,2015-2017
4473,video games (2015-2017),video games (2015-2017),429,2015-2017
4474,output power (2015-2017),output power (2015-2017),429,2015-2017
4475,parallel processing (1990-1994),parallel processing (1990-1994),428,1990-1994
4476,real data (1995-1999),real data (1995-1999),428,1995-1999
4477,conceptual model (2000-2004),conceptual model (2000-2004),428,2000-2004
4478,traffic conditions (2005-2009),traffic conditions (2005-2009),428,2005-2009
4479,random oracle model (2005-2009),random oracle model (2005-2009),428,2005-2009
4480,data hiding (2005-2009),data hiding (2005-2009),428,2005-2009
4481,image based (2005-2009),image based (2005-2009),428,2005-2009
4482,positive definite (2005-2009),positive definite (2005-2009),428,2005-2009
4483,character recognition (2010-2014),character recognition (2010-2014),428,2010-2014
4484,traffic data (2010-2014),traffic data (2010-2014),428,2010-2014
4485,electric vehicle (2010-2014),electric vehicle (2010-2014),428,2010-2014
4486,performance index (2010-2014),performance index (2010-2014),428,2010-2014
4487,large area (2010-2014),large area (2010-2014),428,2010-2014
4488,source node (2015-2017),source node (2015-2017),428,2015-2017
4489,exact solution (2015-2017),exact solution (2015-2017),428,2015-2017
4490,ant colony (2015-2017),ant colony (2015-2017),428,2015-2017
4491,closely related (1995-1999),closely related (1995-1999),427,1995-1999
4492,web servers (2000-2004),web servers (2000-2004),427,2000-2004
4493,ambient intelligence (2005-2009),ambient intelligence (2005-2009),427,2005-2009
4494,data dissemination (2005-2009),data dissemination (2005-2009),427,2005-2009
4495,reduced complexity (2005-2009),reduced complexity (2005-2009),427,2005-2009
4496,baseline methods (2010-2014),baseline methods (2010-2014),427,2010-2014
4497,method named (2010-2014),method named (2010-2014),427,2010-2014
4498,heat transfer (2010-2014),heat transfer (2010-2014),427,2010-2014
4499,software industry (2010-2014),software industry (2010-2014),427,2010-2014
4500,motion model (2010-2014),motion model (2010-2014),427,2010-2014
4501,embedded applications (2010-2014),embedded applications (2010-2014),427,2010-2014
4502,reduce power consumption (2010-2014),reduce power consumption (2010-2014),427,2010-2014
4503,end user (2015-2017),end user (2015-2017),427,2015-2017
4504,parameter settings (2015-2017),parameter settings (2015-2017),427,2015-2017
4505,training set (1995-1999),training set (1995-1999),426,1995-1999
4506,existing methods (1995-1999),existing methods (1995-1999),426,1995-1999
4507,conventional methods (2000-2004),conventional methods (2000-2004),426,2000-2004
4508,virtual reality vr (2005-2009),virtual reality vr (2005-2009),426,2005-2009
4509,product line (2005-2009),product line (2005-2009),426,2005-2009
4510,network operators (2005-2009),network operators (2005-2009),426,2005-2009
4511,constant time (2005-2009),constant time (2005-2009),426,2005-2009
4512,single chip (2010-2014),single chip (2010-2014),426,2010-2014
4513,heuristic search (2010-2014),heuristic search (2010-2014),426,2010-2014
4514,timed automata (2010-2014),timed automata (2010-2014),426,2010-2014
4515,blind source separation (2010-2014),blind source separation (2010-2014),426,2010-2014
4516,linear program (2015-2017),linear program (2015-2017),426,2015-2017
4517,parallel programs (1995-1999),parallel programs (1995-1999),425,1995-1999
4518,bayesian inference (2005-2009),bayesian inference (2005-2009),425,2005-2009
4519,optimization framework (2005-2009),optimization framework (2005-2009),425,2005-2009
4520,instant messaging (2005-2009),instant messaging (2005-2009),425,2005-2009
4521,scheme called (2005-2009),scheme called (2005-2009),425,2005-2009
4522,power law (2005-2009),power law (2005-2009),425,2005-2009
4523,graphics hardware (2005-2009),graphics hardware (2005-2009),425,2005-2009
4524,speech enhancement (2005-2009),speech enhancement (2005-2009),425,2005-2009
4525,template matching (2005-2009),template matching (2005-2009),425,2005-2009
4526,digital watermarking (2005-2009),digital watermarking (2005-2009),425,2005-2009
4527,effectively reduce (2005-2009),effectively reduce (2005-2009),425,2005-2009
4528,large collections (2010-2014),large collections (2010-2014),425,2010-2014
4529,application level (2010-2014),application level (2010-2014),425,2010-2014
4530,high spatial resolution (2010-2014),high spatial resolution (2010-2014),425,2010-2014
4531,network bandwidth (2015-2017),network bandwidth (2015-2017),425,2015-2017
4532,physical activity (2015-2017),physical activity (2015-2017),425,2015-2017
4533,depth map (2015-2017),depth map (2015-2017),425,2015-2017
4534,demand response (2015-2017),demand response (2015-2017),425,2015-2017
4535,augmented reality ar (2015-2017),augmented reality ar (2015-2017),425,2015-2017
4536,eye tracking (2015-2017),eye tracking (2015-2017),425,2015-2017
4537,low energy (2015-2017),low energy (2015-2017),425,2015-2017
4538,electronic commerce (1995-1999),electronic commerce (1995-1999),424,1995-1999
4539,distance learning (2005-2009),distance learning (2005-2009),424,2005-2009
4540,decision process (2005-2009),decision process (2005-2009),424,2005-2009
4541,network analysis (2005-2009),network analysis (2005-2009),424,2005-2009
4542,development environment (2005-2009),development environment (2005-2009),424,2005-2009
4543,functional requirements (2005-2009),functional requirements (2005-2009),424,2005-2009
4544,ip address (2005-2009),ip address (2005-2009),424,2005-2009
4545,medical diagnosis (2010-2014),medical diagnosis (2010-2014),424,2010-2014
4546,time dependent (2010-2014),time dependent (2010-2014),424,2010-2014
4547,competitive ratio (2010-2014),competitive ratio (2010-2014),424,2010-2014
4548,degrees of freedom dof (2010-2014),degrees of freedom dof (2010-2014),424,2010-2014
4549,core network (2010-2014),core network (2010-2014),424,2010-2014
4550,large networks (2015-2017),large networks (2015-2017),424,2015-2017
4551,computation complexity (2015-2017),computation complexity (2015-2017),424,2015-2017
4552,trajectory tracking (2015-2017),trajectory tracking (2015-2017),424,2015-2017
4553,hidden markov model (2000-2004),hidden markov model (2000-2004),423,2000-2004
4554,secure communication (2005-2009),secure communication (2005-2009),423,2005-2009
4555,multiple paths (2005-2009),multiple paths (2005-2009),423,2005-2009
4556,user groups (2010-2014),user groups (2010-2014),423,2010-2014
4557,body parts (2010-2014),body parts (2010-2014),423,2010-2014
4558,read and write (2010-2014),read and write (2010-2014),423,2010-2014
4559,video processing (2010-2014),video processing (2010-2014),423,2010-2014
4560,location estimation (2010-2014),location estimation (2010-2014),423,2010-2014
4561,parameter selection (2010-2014),parameter selection (2010-2014),423,2010-2014
4562,positioning accuracy (2010-2014),positioning accuracy (2010-2014),423,2010-2014
4563,functional magnetic resonance imaging (2015-2017),functional magnetic resonance imaging (2015-2017),423,2015-2017
4564,computational costs (2015-2017),computational costs (2015-2017),423,2015-2017
4565,extended kalman filter (2005-2009),extended kalman filter (2005-2009),422,2005-2009
4566,resource consumption (2005-2009),resource consumption (2005-2009),422,2005-2009
4567,feasible solutions (2005-2009),feasible solutions (2005-2009),422,2005-2009
4568,classification tasks (2005-2009),classification tasks (2005-2009),422,2005-2009
4569,error bounds (2005-2009),error bounds (2005-2009),422,2005-2009
4570,intersymbol interference (2005-2009),intersymbol interference (2005-2009),422,2005-2009
4571,user experiences (2010-2014),user experiences (2010-2014),422,2010-2014
4572,wave propagation (2010-2014),wave propagation (2010-2014),422,2010-2014
4573,randomized algorithm (2010-2014),randomized algorithm (2010-2014),422,2010-2014
4574,renewable energy sources (2010-2014),renewable energy sources (2010-2014),422,2010-2014
4575,rigid body (2010-2014),rigid body (2010-2014),422,2010-2014
4576,topic modeling (2015-2017),topic modeling (2015-2017),422,2015-2017
4577,save energy (2015-2017),save energy (2015-2017),422,2015-2017
4578,complexity analysis (2005-2009),complexity analysis (2005-2009),421,2005-2009
4579,generalization ability (2005-2009),generalization ability (2005-2009),421,2005-2009
4580,scientific data (2005-2009),scientific data (2005-2009),421,2005-2009
4581,quality assurance (2005-2009),quality assurance (2005-2009),421,2005-2009
4582,interaction techniques (2005-2009),interaction techniques (2005-2009),421,2005-2009
4583,stock market (2005-2009),stock market (2005-2009),421,2005-2009
4584,motion vector (2010-2014),motion vector (2010-2014),421,2010-2014
4585,premature convergence (2010-2014),premature convergence (2010-2014),421,2010-2014
4586,reference frame (2010-2014),reference frame (2010-2014),421,2010-2014
4587,depth data (2010-2014),depth data (2010-2014),421,2010-2014
4588,context awareness (2010-2014),context awareness (2010-2014),421,2010-2014
4589,query image (2010-2014),query image (2010-2014),421,2010-2014
4590,data aggregation (2015-2017),data aggregation (2015-2017),421,2015-2017
4591,a pilot study (2015-2017),a pilot study (2015-2017),421,2015-2017
4592,spatial domain (2015-2017),spatial domain (2015-2017),421,2015-2017
4593,input parameters (2015-2017),input parameters (2015-2017),421,2015-2017
4594,problem instances (2015-2017),problem instances (2015-2017),421,2015-2017
4595,randomly generated (2000-2004),randomly generated (2000-2004),420,2000-2004
4596,digital camera (2005-2009),digital camera (2005-2009),420,2005-2009
4597,singular value decomposition svd (2005-2009),singular value decomposition svd (2005-2009),420,2005-2009
4598,source coding (2005-2009),source coding (2005-2009),420,2005-2009
4599,mass spectrometry (2010-2014),mass spectrometry (2010-2014),420,2010-2014
4600,highly reliable (2010-2014),highly reliable (2010-2014),420,2010-2014
4601,convergence rates (2010-2014),convergence rates (2010-2014),420,2010-2014
4602,quality control (2015-2017),quality control (2015-2017),420,2015-2017
4603,optimal policy (2015-2017),optimal policy (2015-2017),420,2015-2017
4604,authors present (2015-2017),authors present (2015-2017),420,2015-2017
4605,open data (2015-2017),open data (2015-2017),420,2015-2017
4606,web search (2000-2004),web search (2000-2004),419,2000-2004
4607,operational semantics (2000-2004),operational semantics (2000-2004),419,2000-2004
4608,color information (2005-2009),color information (2005-2009),419,2005-2009
4609,user queries (2005-2009),user queries (2005-2009),419,2005-2009
4610,process algebra (2005-2009),process algebra (2005-2009),419,2005-2009
4611,storage system (2005-2009),storage system (2005-2009),419,2005-2009
4612,trust management (2010-2014),trust management (2010-2014),419,2010-2014
4613,error bound (2010-2014),error bound (2010-2014),419,2010-2014
4614,saliency map (2010-2014),saliency map (2010-2014),419,2010-2014
4615,related information (2015-2017),related information (2015-2017),419,2015-2017
4616,random variable (2015-2017),random variable (2015-2017),419,2015-2017
4617,clustering algorithms (2000-2004),clustering algorithms (2000-2004),418,2000-2004
4618,empirical studies (2000-2004),empirical studies (2000-2004),418,2000-2004
4619,classification based (2005-2009),classification based (2005-2009),418,2005-2009
4620,route discovery (2005-2009),route discovery (2005-2009),418,2005-2009
4621,large volumes (2005-2009),large volumes (2005-2009),418,2005-2009
4622,optimization model (2005-2009),optimization model (2005-2009),418,2005-2009
4623,process modeling (2010-2014),process modeling (2010-2014),418,2010-2014
4624,user friendly (2010-2014),user friendly (2010-2014),418,2010-2014
4625,resource provisioning (2010-2014),resource provisioning (2010-2014),418,2010-2014
4626,execution environment (2010-2014),execution environment (2010-2014),418,2010-2014
4627,audio signal (2010-2014),audio signal (2010-2014),418,2010-2014
4628,hardware complexity (2010-2014),hardware complexity (2010-2014),418,2010-2014
4629,analytical expression (2010-2014),analytical expression (2010-2014),418,2010-2014
4630,directed graph (2015-2017),directed graph (2015-2017),418,2015-2017
4631,software development (1995-1999),software development (1995-1999),417,1995-1999
4632,distributed applications (1995-1999),distributed applications (1995-1999),417,1995-1999
4633,object oriented (2000-2004),object oriented (2000-2004),417,2000-2004
4634,minimization problem (2005-2009),minimization problem (2005-2009),417,2005-2009
4635,binding sites (2005-2009),binding sites (2005-2009),417,2005-2009
4636,user feedback (2005-2009),user feedback (2005-2009),417,2005-2009
4637,biomedical research (2010-2014),biomedical research (2010-2014),417,2010-2014
4638,developed countries (2010-2014),developed countries (2010-2014),417,2010-2014
4639,traffic control (2010-2014),traffic control (2010-2014),417,2010-2014
4640,target language (2010-2014),target language (2010-2014),417,2010-2014
4641,set theory (2010-2014),set theory (2010-2014),417,2010-2014
4642,stochastic processes (2010-2014),stochastic processes (2010-2014),417,2010-2014
4643,computational approaches (2010-2014),computational approaches (2010-2014),417,2010-2014
4644,efficiently solve (2010-2014),efficiently solve (2010-2014),417,2010-2014
4645,online algorithm (2015-2017),online algorithm (2015-2017),417,2015-2017
4646,graphical user interface (2015-2017),graphical user interface (2015-2017),417,2015-2017
4647,unknown parameters (2015-2017),unknown parameters (2015-2017),417,2015-2017
4648,parallel algorithms (1990-1994),parallel algorithms (1990-1994),416,1990-1994
4649,fault tolerant (2000-2004),fault tolerant (2000-2004),416,2000-2004
4650,convergence rate (2000-2004),convergence rate (2000-2004),416,2000-2004
4651,motion planning (2000-2004),motion planning (2000-2004),416,2000-2004
4652,routing scheme (2005-2009),routing scheme (2005-2009),416,2005-2009
4653,land cover (2005-2009),land cover (2005-2009),416,2005-2009
4654,traffic flows (2005-2009),traffic flows (2005-2009),416,2005-2009
4655,computational requirements (2005-2009),computational requirements (2005-2009),416,2005-2009
4656,seamless integration (2010-2014),seamless integration (2010-2014),416,2010-2014
4657,network environment (2010-2014),network environment (2010-2014),416,2010-2014
4658,metric spaces (2010-2014),metric spaces (2010-2014),416,2010-2014
4659,selection problem (2010-2014),selection problem (2010-2014),416,2010-2014
4660,markov decision processes (2010-2014),markov decision processes (2010-2014),416,2010-2014
4661,encrypted data (2010-2014),encrypted data (2010-2014),416,2010-2014
4662,source coding (2010-2014),source coding (2010-2014),416,2010-2014
4663,extreme learning machine (2015-2017),extreme learning machine (2015-2017),416,2015-2017
4664,online survey (2015-2017),online survey (2015-2017),416,2015-2017
4665,control input (2015-2017),control input (2015-2017),416,2015-2017
4666,visual analytics (2015-2017),visual analytics (2015-2017),416,2015-2017
4667,dynamic analysis (2015-2017),dynamic analysis (2015-2017),416,2015-2017
4668,image registration (2000-2004),image registration (2000-2004),415,2000-2004
4669,program analysis (2005-2009),program analysis (2005-2009),415,2005-2009
4670,control points (2005-2009),control points (2005-2009),415,2005-2009
4671,spread spectrum (2005-2009),spread spectrum (2005-2009),415,2005-2009
4672,linear prediction (2010-2014),linear prediction (2010-2014),415,2010-2014
4673,point sets (2010-2014),point sets (2010-2014),415,2010-2014
4674,traffic information (2010-2014),traffic information (2010-2014),415,2010-2014
4675,stream processing (2010-2014),stream processing (2010-2014),415,2010-2014
4676,blood pressure (2010-2014),blood pressure (2010-2014),415,2010-2014
4677,software maintenance (2010-2014),software maintenance (2010-2014),415,2010-2014
4678,previous study (2015-2017),previous study (2015-2017),415,2015-2017
4679,singular value decomposition (2015-2017),singular value decomposition (2015-2017),415,2015-2017
4680,error rates (2000-2004),error rates (2000-2004),414,2000-2004
4681,working group (2005-2009),working group (2005-2009),414,2005-2009
4682,large volume (2005-2009),large volume (2005-2009),414,2005-2009
4683,complex problems (2005-2009),complex problems (2005-2009),414,2005-2009
4684,video games (2005-2009),video games (2005-2009),414,2005-2009
4685,large amounts of data (2005-2009),large amounts of data (2005-2009),414,2005-2009
4686,flow control (2005-2009),flow control (2005-2009),414,2005-2009
4687,statistical significance (2005-2009),statistical significance (2005-2009),414,2005-2009
4688,let g (2005-2009),let g (2005-2009),414,2005-2009
4689,life sciences (2010-2014),life sciences (2010-2014),414,2010-2014
4690,training algorithm (2010-2014),training algorithm (2010-2014),414,2010-2014
4691,straight line (2010-2014),straight line (2010-2014),414,2010-2014
4692,cost savings (2010-2014),cost savings (2010-2014),414,2010-2014
4693,control points (2010-2014),control points (2010-2014),414,2010-2014
4694,software defined networking sdn (2015-2017),software defined networking sdn (2015-2017),414,2015-2017
4695,long term evolution lte (2015-2017),long term evolution lte (2015-2017),414,2015-2017
4696,significantly improves (2000-2004),significantly improves (2000-2004),413,2000-2004
4697,face detection (2000-2004),face detection (2000-2004),413,2000-2004
4698,service differentiation (2005-2009),service differentiation (2005-2009),413,2005-2009
4699,rayleigh fading channels (2005-2009),rayleigh fading channels (2005-2009),413,2005-2009
4700,illumination conditions (2010-2014),illumination conditions (2010-2014),413,2010-2014
4701,virtual reality vr (2010-2014),virtual reality vr (2010-2014),413,2010-2014
4702,wind turbines (2010-2014),wind turbines (2010-2014),413,2010-2014
4703,candidate solutions (2010-2014),candidate solutions (2010-2014),413,2010-2014
4704,sequence alignment (2010-2014),sequence alignment (2010-2014),413,2010-2014
4705,service delivery (2005-2009),service delivery (2005-2009),412,2005-2009
4706,input images (2005-2009),input images (2005-2009),412,2005-2009
4707,recognition rates (2005-2009),recognition rates (2005-2009),412,2005-2009
4708,user generated (2010-2014),user generated (2010-2014),412,2010-2014
4709,efficient parallel (2010-2014),efficient parallel (2010-2014),412,2010-2014
4710,data hiding (2010-2014),data hiding (2010-2014),412,2010-2014
4711,graphical model (2015-2017),graphical model (2015-2017),412,2015-2017
4712,topic model (2015-2017),topic model (2015-2017),412,2015-2017
4713,motion estimation (2015-2017),motion estimation (2015-2017),412,2015-2017
4714,computed tomography (2015-2017),computed tomography (2015-2017),412,2015-2017
4715,control flow (2015-2017),control flow (2015-2017),412,2015-2017
4716,field of view (2015-2017),field of view (2015-2017),412,2015-2017
4717,optimal power allocation (2015-2017),optimal power allocation (2015-2017),412,2015-2017
4718,nearest neighbor (2000-2004),nearest neighbor (2000-2004),411,2000-2004
4719,distributed environments (2005-2009),distributed environments (2005-2009),411,2005-2009
4720,analytical solution (2005-2009),analytical solution (2005-2009),411,2005-2009
4721,optimisation problem (2010-2014),optimisation problem (2010-2014),411,2010-2014
4722,pattern mining (2010-2014),pattern mining (2010-2014),411,2010-2014
4723,online shopping (2010-2014),online shopping (2010-2014),411,2010-2014
4724,belief propagation (2015-2017),belief propagation (2015-2017),411,2015-2017
4725,noisy data (2015-2017),noisy data (2015-2017),411,2015-2017
4726,recent developments (2000-2004),recent developments (2000-2004),410,2000-2004
4727,color image (2000-2004),color image (2000-2004),410,2000-2004
4728,competitive ratio (2005-2009),competitive ratio (2005-2009),410,2005-2009
4729,mobile learning (2010-2014),mobile learning (2010-2014),410,2010-2014
4730,clinical applications (2010-2014),clinical applications (2010-2014),410,2010-2014
4731,analytical method (2010-2014),analytical method (2010-2014),410,2010-2014
4732,power density (2010-2014),power density (2010-2014),410,2010-2014
4733,detection methods (2015-2017),detection methods (2015-2017),410,2015-2017
4734,automatic segmentation (2005-2009),automatic segmentation (2005-2009),409,2005-2009
4735,wireless networking (2005-2009),wireless networking (2005-2009),409,2005-2009
4736,time slots (2005-2009),time slots (2005-2009),409,2005-2009
4737,posterior probability (2005-2009),posterior probability (2005-2009),409,2005-2009
4738,finite time (2005-2009),finite time (2005-2009),409,2005-2009
4739,data visualization (2005-2009),data visualization (2005-2009),409,2005-2009
4740,energy conservation (2005-2009),energy conservation (2005-2009),409,2005-2009
4741,visual tracking (2005-2009),visual tracking (2005-2009),409,2005-2009
4742,complete graph (2010-2014),complete graph (2010-2014),409,2010-2014
4743,open data (2010-2014),open data (2010-2014),409,2010-2014
4744,real networks (2010-2014),real networks (2010-2014),409,2010-2014
4745,blood vessels (2010-2014),blood vessels (2010-2014),409,2010-2014
4746,network parameters (2015-2017),network parameters (2015-2017),409,2015-2017
4747,image representation (2015-2017),image representation (2015-2017),409,2015-2017
4748,automatic generation (2015-2017),automatic generation (2015-2017),409,2015-2017
4749,dynamic model (2000-2004),dynamic model (2000-2004),408,2000-2004
4750,gaussian mixture model (2005-2009),gaussian mixture model (2005-2009),408,2005-2009
4751,motion information (2005-2009),motion information (2005-2009),408,2005-2009
4752,texture features (2005-2009),texture features (2005-2009),408,2005-2009
4753,graduate students (2010-2014),graduate students (2010-2014),408,2010-2014
4754,feature based (2010-2014),feature based (2010-2014),408,2010-2014
4755,shared data (2010-2014),shared data (2010-2014),408,2010-2014
4756,partial order (2010-2014),partial order (2010-2014),408,2010-2014
4757,noisy environments (2010-2014),noisy environments (2010-2014),408,2010-2014
4758,automatic recognition (2010-2014),automatic recognition (2010-2014),408,2010-2014
4759,planar graphs (2015-2017),planar graphs (2015-2017),408,2015-2017
4760,network based (2015-2017),network based (2015-2017),408,2015-2017
4761,spatial correlation (2015-2017),spatial correlation (2015-2017),408,2015-2017
4762,performance loss (2015-2017),performance loss (2015-2017),408,2015-2017
4763,low power (1995-1999),low power (1995-1999),407,1995-1999
4764,formal concept analysis (2005-2009),formal concept analysis (2005-2009),407,2005-2009
4765,electrical engineering (2010-2014),electrical engineering (2010-2014),407,2010-2014
4766,finite impulse response (2010-2014),finite impulse response (2010-2014),407,2010-2014
4767,texture analysis (2010-2014),texture analysis (2010-2014),407,2010-2014
4768,fuzzy set theory (2010-2014),fuzzy set theory (2010-2014),407,2010-2014
4769,lyapunov functions (2010-2014),lyapunov functions (2010-2014),407,2010-2014
4770,semidefinite programming (2010-2014),semidefinite programming (2010-2014),407,2010-2014
4771,maximum degree (2015-2017),maximum degree (2015-2017),407,2015-2017
4772,linear algebra (2015-2017),linear algebra (2015-2017),407,2015-2017
4773,learning environment (2015-2017),learning environment (2015-2017),407,2015-2017
4774,frame rate (2015-2017),frame rate (2015-2017),407,2015-2017
4775,texture features (2015-2017),texture features (2015-2017),407,2015-2017
4776,least square (2015-2017),least square (2015-2017),407,2015-2017
4777,closed loop (2015-2017),closed loop (2015-2017),407,2015-2017
4778,dynamic range (2000-2004),dynamic range (2000-2004),406,2000-2004
4779,control law (2000-2004),control law (2000-2004),406,2000-2004
4780,mobile ip (2005-2009),mobile ip (2005-2009),406,2005-2009
4781,image restoration (2005-2009),image restoration (2005-2009),406,2005-2009
4782,traffic monitoring (2010-2014),traffic monitoring (2010-2014),406,2010-2014
4783,scoring function (2010-2014),scoring function (2010-2014),406,2010-2014
4784,hardware components (2010-2014),hardware components (2010-2014),406,2010-2014
4785,wind energy (2010-2014),wind energy (2010-2014),406,2010-2014
4786,human genome (2010-2014),human genome (2010-2014),406,2010-2014
4787,multiobjective optimization (2015-2017),multiobjective optimization (2015-2017),406,2015-2017
4788,wireless network (2015-2017),wireless network (2015-2017),406,2015-2017
4789,fully distributed (2015-2017),fully distributed (2015-2017),406,2015-2017
4790,global optimum (2015-2017),global optimum (2015-2017),406,2015-2017
4791,convolutional neural networks cnns (2015-2017),convolutional neural networks cnns (2015-2017),406,2015-2017
4792,expert systems (1985-1989),expert systems (1985-1989),405,1985-1989
4793,computational cost (1995-1999),computational cost (1995-1999),405,1995-1999
4794,authors present (1995-1999),authors present (1995-1999),405,1995-1999
4795,parallel algorithm (2000-2004),parallel algorithm (2000-2004),405,2000-2004
4796,routing protocols (2000-2004),routing protocols (2000-2004),405,2000-2004
4797,high availability (2005-2009),high availability (2005-2009),405,2005-2009
4798,collision detection (2005-2009),collision detection (2005-2009),405,2005-2009
4799,benchmark data sets (2005-2009),benchmark data sets (2005-2009),405,2005-2009
4800,unified modeling language (2005-2009),unified modeling language (2005-2009),405,2005-2009
4801,network load (2005-2009),network load (2005-2009),405,2005-2009
4802,arbitrarily large (2010-2014),arbitrarily large (2010-2014),405,2010-2014
4803,interest points (2010-2014),interest points (2010-2014),405,2010-2014
4804,sampling method (2010-2014),sampling method (2010-2014),405,2010-2014
4805,integer linear programming ilp (2010-2014),integer linear programming ilp (2010-2014),405,2010-2014
4806,sampling frequency (2010-2014),sampling frequency (2010-2014),405,2010-2014
4807,design optimization (2010-2014),design optimization (2010-2014),405,2010-2014
4808,limited energy (2010-2014),limited energy (2010-2014),405,2010-2014
4809,wind power (2010-2014),wind power (2010-2014),405,2010-2014
4810,inverse kinematics (2010-2014),inverse kinematics (2010-2014),405,2010-2014
